decile,customers,avg_pred_clv,avg_holdout_revenue,total_holdout_revenue,lift_vs_overall_mean
1,494,-1972.3786783309993,240.92313765182186,119016.03,0.2826746228566794
2,493,-924.2340665115267,159.487953346856,78627.561,0.18712688827612597
3,493,-597.9262676290653,66.0686612576065,32571.85,0.07751822463241272
4,493,-82.32910750456273,78.21991886409737,38562.42,0.09177527023885487
5,494,148.8003476467471,170.05704453441294,84008.18,0.19952758127099376
6,493,242.3986806537702,305.43858012170386,150581.22,0.35837045907379406
7,493,371.24060444572626,355.4580344827586,175240.811,0.41705818219917445
8,493,575.2469634326442,658.8296146044624,324803.0,0.7730034344159619
9,493,958.583268565296,1143.4343204868153,563713.12,1.3415891410650063
10,494,3553.366422388717,5338.591032388665,2637263.97,6.2637578996145225
